total,species_a,species_b,n,m,potential_energy,potential_energy_per_atom,formation_energy_per_atom,strain_tension_per_a_atom,strain_compression_per_b_atom,interface_energy
11,Si,Ge,9,2,-485.80366497560334,-5.5204961929045835,0.005295155666639447,0.01764071730027202,0.01376261851970284,-1.024359843270588
11,Si,Ge,10,1,-492.24691562105653,-5.593714950239279,0.006721254686119787,0.01764071730027226,0.01376261851970284,-0.92988791980099
12,Si,Ge,1,11,-472.2132256335319,-4.918887767015957,0.0035243260256810536,0.017640717300271724,0.013762618519703163,-1.013900869670124
12,Si,Ge,2,10,-478.8472641831683,-4.987992335241336,0.00284420945829685,0.017640717300272613,0.013762618519704261,-1.1102168503838925
12,Si,Ge,3,9,-485.46043220416914,-5.056879502126762,0.002381494230865755,0.017640717300273206,0.013762618519704025,-1.1856623024619921
12,Si,Ge,4,8,-492.04944875355,-5.1255150911828125,0.0021703568328087877,0.017640717300271724,0.013762618519703729,-1.2369562829201186
12,Si,Ge,5,7,-498.61744186177395,-5.193931686060146,0.0021782136134695187,0.017640717300272966,0.013762618519703349,-1.267226822221346
12,Si,Ge,6,6,-505.16304492509727,-5.2621150513030965,0.002419300028512872,0.01764071730027202,0.013762618519703432,-1.2751073166216997
12,Si,Ge,7,5,-511.68558959617576,-5.3300582249601645,0.002900578029439771,0.01764071730027236,0.013762618519704261,-1.2599294187772898
12,Si,Ge,8,4,-518.1892338595762,-5.3978045193705855,0.003578735277011802,0.017640717300271724,0.01376261851970284,-1.2258511132549756
12,Si,Ge,9,3,-524.6701855214116,-5.465314432514703,0.004493273790887671,0.01764071730027202,0.013762618519703432,-1.1690802061673367
12,Si,Ge,10,2,-531.1307115244359,-5.532611578379541,0.005620579584044864,0.01764071730027226,0.01376261851970284,-1.0918836402688612
12,Si,Ge,11,1,-537.5723306943412,-5.599711778066054,0.006944831555526054,0.01764071730027245,0.01376261851970284,-0.995780241251282
13,Si,Ge,1,12,-510.9984007575291,-4.9134461611300875,0.0037025125532438733,0.017640717300271724,0.013762618519703432,-1.0772758107556228
13,Si,Ge,2,11,-517.6353476074906,-4.977262957764333,0.0030467482186853525,0.017640717300272613,0.013762618519703163,-1.1765000917944235
13,Si,Ge,3,10,-524.252023475884,-5.040884841114269,0.0025858971684366103,0.017640717300273206,0.013762618519704261,-1.2554533912651777
13,Si,Ge,4,9,-530.8492644502811,-5.104319850483472,0.0023119200989202026,0.017640717300271724,0.013762618519704025,-1.3149717967395418
13,Si,Ge,5,8,-537.4243399979646,-5.16754173074966,0.0022510721324194424,0.017640717300272966,0.013762618519703729,-1.3523247755002785
13,Si,Ge,6,7,-543.9788406082807,-5.230565775079622,0.0023880601021434044,0.01764071730027202,0.013762618519703349,-1.369102816893701
13,Si,Ge,7,6,-550.5137839430167,-5.293401768682854,0.002713098798599899,0.01764071730027236,0.013762618519703432,-1.366323582706741
